394_NGR_c24630	activation	394_NGR_c18610	0.19200003
883_DvMF_1208	activation	883_DvMF_2643	0.35899997
883_DvMF_1129	activation	883_DvMF_2021	0.23399997
883_DvMF_1129	activation	883_DvMF_2643	0.23399997
883_DvMF_1057	activation	883_DvMF_2021	0.58599997
883_DvMF_1057	activation	883_DvMF_2643	0.55799997
883_DvMF_1057	activation	883_DvMF_0468	0.34000003
883_DvMF_1057	activation	883_DvMF_2010	0.34000003
883_DvMF_1057	activation	883_DvMF_0226	0.33599997
883_DvMF_1208	activation	883_DvMF_0775	0.35899997
883_DvMF_1208	activation	883_DvMF_1460	0.047999978
883_DvMF_1208	activation	883_DvMF_0226	0.35899997
883_DvMF_1208	activation	883_DvMF_2010	0.35899997
883_DvMF_1114	activation	883_DvMF_0792	0.0539999
883_DvMF_1114	activation	883_DvMF_0774	0.03400004
883_DvMF_1114	activation	883_DvMF_1208	0.0539999
883_DvMF_1114	activation	883_DvMF_0619	0.03400004
883_DvMF_1114	activation	883_DvMF_0284	0.0539999
883_DvMF_1114	activation	883_DvMF_0467	0.03400004
882_DVU0478	activation	882_DVU0479	0.33599997
882_DVU2774	activation	882_DVU0479	0.16199994
882_DVU1850	activation	882_DVU0479	0.16199994
883_DvMF_1501	activation	883_DvMF_0468	0.34000003
883_DvMF_1501	activation	883_DvMF_0226	0.33599997
883_DvMF_1501	activation	883_DvMF_2939	0.58599997
883_DvMF_1501	activation	883_DvMF_2021	0.58599997
883_DvMF_1251	activation	883_DvMF_2643	0.22300005
883_DvMF_1208	activation	883_DvMF_2257	0.385
883_DvMF_1129	activation	883_DvMF_1608	0.014000058
883_DvMF_1208	activation	883_DvMF_2182	0.385
883_DvMF_1251	activation	883_DvMF_1460	0.02699995
883_DvMF_0948	activation	883_DvMF_1208	0.385
883_DvMF_1057	activation	883_DvMF_0620	0.0539999
883_DvMF_1208	activation	883_DvMF_0585	0.385
883_DvMF_1208	activation	883_DvMF_0619	0.52699995
883_DvMF_1057	activation	883_DvMF_0467	0.32000005
883_DvMF_1021	activation	883_DvMF_1608	0.09099996
883_DvMF_1208	activation	883_DvMF_0563	0.385
883_DvMF_1208	activation	883_DvMF_0467	0.52699995
883_DvMF_1057	activation	883_DvMF_0774	0.32000005
883_DvMF_1208	activation	883_DvMF_1633	0.0539999
883_DvMF_1096	activation	883_DvMF_1361	0.04400003
883_DvMF_0948	activation	883_DvMF_0467	0.32000005
394_NGR_c11990	activation	394_NGR_c10810	0.625
883_DvMF_1114	activation	883_DvMF_2021	0.40400004
883_DvMF_1114	activation	883_DvMF_2643	0.26999998
883_DvMF_0948	activation	883_DvMF_0619	0.32000005
883_DvMF_1208	activation	883_DvMF_1698	0.16199994
883_DvMF_0948	activation	883_DvMF_0620	0.0539999
883_DvMF_0948	activation	883_DvMF_0792	0.0539999
883_DvMF_1096	activation	883_DvMF_2021	0.22300005
883_DvMF_1208	activation	883_DvMF_3181	0.385
883_DvMF_1208	activation	883_DvMF_3116	0.385
883_DvMF_1208	activation	883_DvMF_3073	0.385
883_DvMF_1057	activation	883_DvMF_0619	0.32000005
883_DvMF_1208	activation	883_DvMF_2564	0.0539999
883_DvMF_1208	activation	883_DvMF_1114	0.0539999
883_DvMF_1208	activation	883_DvMF_1156	0.385
883_DvMF_1251	activation	883_DvMF_2939	0.22300005
883_DvMF_1251	activation	883_DvMF_2010	0.16900003
883_DvMF_1208	activation	883_DvMF_1372	0.0539999
883_DvMF_1156	activation	883_DvMF_0226	0.33599997
883_DvMF_1156	activation	883_DvMF_0775	0.34000003
883_DvMF_1208	activation	883_DvMF_1060	0.0539999
883_DvMF_1156	activation	883_DvMF_0468	0.34000003
883_DvMF_1156	activation	883_DvMF_2939	0.579
883_DvMF_1208	activation	883_DvMF_0621	0.385
883_DvMF_1057	activation	883_DvMF_1208	0.385
883_DvMF_1156	activation	883_DvMF_2021	0.58599997
883_DvMF_1156	activation	883_DvMF_2643	0.55799997
883_DvMF_1208	activation	883_DvMF_0917	0.385
883_DvMF_1624	activation	883_DvMF_2939	0.15400004
883_DvMF_1624	activation	883_DvMF_1460	0.08500004
883_DvMF_1501	activation	883_DvMF_1208	0.385
883_DvMF_1624	activation	883_DvMF_2021	0.15400004
883_DvMF_1624	activation	883_DvMF_2643	0.15400004
883_DvMF_1501	activation	883_DvMF_0467	0.32000005
883_DvMF_1501	activation	883_DvMF_0792	0.0539999
883_DvMF_1501	activation	883_DvMF_0774	0.32000005
883_DvMF_1501	activation	883_DvMF_0620	0.0539999
883_DvMF_1607	activation	883_DvMF_2643	0.23399997
883_DvMF_1607	activation	883_DvMF_2021	0.23399997
883_DvMF_1608	activation	883_DvMF_2021	0.11800003
883_DvMF_1608	activation	883_DvMF_2643	0.11800003
883_DvMF_1156	activation	883_DvMF_0792	0.0539999
883_DvMF_1156	activation	883_DvMF_0774	0.32000005
883_DvMF_1156	activation	883_DvMF_0619	0.32000005
883_DvMF_1372	activation	883_DvMF_2021	0.40400004
883_DvMF_1501	activation	883_DvMF_0284	0.385
883_DvMF_1156	activation	883_DvMF_1208	0.385
883_DvMF_2182	activation	883_DvMF_2021	0.55799997
883_DvMF_2182	activation	883_DvMF_2643	0.55799997
883_DvMF_1631	activation	883_DvMF_1460	0.08500004
883_DvMF_1988	activation	883_DvMF_2643	0.15400004
883_DvMF_2182	activation	883_DvMF_2939	0.55799997
883_DvMF_2182	activation	883_DvMF_2010	0.34000003
883_DvMF_2182	activation	883_DvMF_0226	0.33599997
883_DvMF_2182	activation	883_DvMF_0775	0.34000003
883_DvMF_1608	activation	883_DvMF_1607	0.09099996
883_DvMF_1996	activation	883_DvMF_2643	0.55799997
883_DvMF_1608	activation	883_DvMF_1021	0.014000058
883_DvMF_1996	activation	883_DvMF_2939	0.58599997
883_DvMF_1996	activation	883_DvMF_2010	0.34000003
883_DvMF_1996	activation	883_DvMF_0226	0.33599997
883_DvMF_1996	activation	883_DvMF_0468	0.34000003
883_DvMF_1607	activation	883_DvMF_1608	0.09099996
883_DvMF_1608	activation	883_DvMF_1129	0.09099996
883_DvMF_1372	activation	883_DvMF_0284	0.0539999
883_DvMF_1372	activation	883_DvMF_0619	0.03400004
883_DvMF_1372	activation	883_DvMF_1208	0.0539999
883_DvMF_1988	activation	883_DvMF_1460	0.08500004
883_DvMF_1372	activation	883_DvMF_0774	0.03400004
883_DvMF_1372	activation	883_DvMF_0620	0.0539999
883_DvMF_1372	activation	883_DvMF_0792	0.0539999
882_DVU1633	activation	882_DVU0830	0.48300004
394_NGR_c10810	activation	394_NGR_c11990	0.625
883_DvMF_2584	activation	883_DvMF_0423	0.63600004
883_DvMF_2584	activation	883_DvMF_0422	0.38199997
883_DvMF_2584	activation	883_DvMF_2877	0.91999996
883_DvMF_2584	activation	883_DvMF_2878	0.61800003
883_DvMF_0620	activation	883_DvMF_2542	0.0539999
883_DvMF_0620	activation	883_DvMF_2785	0.0539999
883_DvMF_0620	activation	883_DvMF_2988	0.0539999
883_DvMF_0620	activation	883_DvMF_2712	0.0539999
883_DvMF_0620	activation	883_DvMF_2710	0.0539999
883_DvMF_0792	activation	883_DvMF_2542	0.0539999
883_DvMF_0792	activation	883_DvMF_2712	0.0539999
883_DvMF_0792	activation	883_DvMF_2710	0.0539999
883_DvMF_0792	activation	883_DvMF_2785	0.0539999
883_DvMF_0792	activation	883_DvMF_2988	0.0539999
883_DvMF_0774	activation	883_DvMF_2542	0.32000005
883_DvMF_0774	activation	883_DvMF_2712	0.32000005
883_DvMF_0774	activation	883_DvMF_2710	0.32000005
883_DvMF_0793	activation	883_DvMF_0466	0.33599997
883_DvMF_1698	activation	883_DvMF_0776	0.16199994
883_DvMF_1208	activation	883_DvMF_2785	0.0539999
883_DvMF_1208	activation	883_DvMF_2988	0.385
883_DvMF_1208	activation	883_DvMF_2542	0.385
883_DvMF_1208	activation	883_DvMF_2710	0.385
883_DvMF_0620	activation	883_DvMF_0778	0.14899993
883_DvMF_0774	activation	883_DvMF_0466	0.13999999
883_DvMF_0621	activation	883_DvMF_0466	0.35899997
883_DvMF_0088	activation	883_DvMF_1448	0.23599994
883_DvMF_0088	activation	883_DvMF_0101	0.347
883_DvMF_0621	activation	883_DvMF_0778	0.35899997
883_DvMF_0620	activation	883_DvMF_0466	0.14899993
882_DVU0479	activation	882_DVU1025	0.502
883_DvMF_0087	activation	883_DvMF_1448	0.6960001
883_DvMF_0087	activation	883_DvMF_0101	0.553
883_DvMF_1057	activation	883_DvMF_0466	0.18900001
883_DvMF_2564	activation	883_DvMF_0776	0.0539999
883_DvMF_1057	activation	883_DvMF_0778	0.18900001
883_DvMF_3073	activation	883_DvMF_0776	0.385
883_DvMF_0882	activation	883_DvMF_2133	0.27400005
883_DvMF_0948	activation	883_DvMF_0466	0.33599997
394_NGR_c12000	activation	394_NGR_c28320	0.35899997
883_DvMF_0917	activation	883_DvMF_0466	0.18900001
882_DVU0479	activation	882_DVU1646	0.011999965
883_DvMF_1156	activation	883_DvMF_0778	0.18900001
883_DvMF_0793	activation	883_DvMF_0776	0.385
883_DvMF_0619	activation	883_DvMF_0776	0.52699995
883_DvMF_1209	activation	883_DvMF_0776	0.385
883_DvMF_1996	activation	883_DvMF_0778	0.18900001
883_DvMF_2182	activation	883_DvMF_0466	0.33599997
883_DvMF_0563	activation	883_DvMF_0776	0.385
883_DvMF_0621	activation	883_DvMF_0776	0.385
883_DvMF_0774	activation	883_DvMF_0776	0.52699995
883_DvMF_2149	activation	883_DvMF_0824	0.342
883_DvMF_1057	activation	883_DvMF_0776	0.385
883_DvMF_2257	activation	883_DvMF_0778	0.33599997
883_DvMF_0917	activation	883_DvMF_0776	0.385
883_DvMF_0882	activation	883_DvMF_1632	0.045000076
883_DvMF_0882	activation	883_DvMF_1625	0.045000076
883_DvMF_1501	activation	883_DvMF_0776	0.385
883_DvMF_1114	activation	883_DvMF_0776	0.0539999
883_DvMF_1156	activation	883_DvMF_0776	0.385
883_DvMF_0211	activation	883_DvMF_2643	0.22300005
883_DvMF_0331	activation	883_DvMF_2021	0.22300005
883_DvMF_0331	activation	883_DvMF_2643	0.22300005
883_DvMF_3083	activation	883_DvMF_2643	0.22300005
883_DvMF_3083	activation	883_DvMF_1361	0.04400003
883_DvMF_3083	activation	883_DvMF_2939	0.22300005
883_DvMF_0466	activation	883_DvMF_1869	0.18900001
883_DvMF_2963	activation	883_DvMF_2550	0.120000005
883_DvMF_2182	activation	883_DvMF_0776	0.385
883_DvMF_3203	activation	883_DvMF_2643	0.22300005
883_DvMF_2300	activation	883_DvMF_2021	0.22300005
883_DvMF_3203	activation	883_DvMF_2939	0.22300005
883_DvMF_3203	activation	883_DvMF_1460	0.02699995
883_DvMF_0866	activation	883_DvMF_2643	0.22300005
883_DvMF_0466	activation	883_DvMF_2939	0.22300005
883_DvMF_0466	activation	883_DvMF_1361	0.04400003
883_DvMF_1996	activation	883_DvMF_0776	0.36299992
883_DvMF_3023	activation	883_DvMF_2021	0.22300005
883_DvMF_3083	activation	883_DvMF_2550	0.120000005
883_DvMF_2963	activation	883_DvMF_1460	0.02699995
883_DvMF_0466	activation	883_DvMF_2257	0.33599997
883_DvMF_0768	activation	883_DvMF_2021	0.22300005
883_DvMF_0768	activation	883_DvMF_2643	0.22300005
883_DvMF_0701	activation	883_DvMF_1361	0.04400003
883_DvMF_0701	activation	883_DvMF_2939	0.22300005
883_DvMF_0768	activation	883_DvMF_2939	0.22300005
883_DvMF_0466	activation	883_DvMF_1996	0.18900001
883_DvMF_0701	activation	883_DvMF_2550	0.120000005
883_DvMF_0509	activation	883_DvMF_1460	0.02699995
883_DvMF_0466	activation	883_DvMF_1501	0.33599997
883_DvMF_1366	activation	883_DvMF_2021	0.22300005
883_DvMF_1366	activation	883_DvMF_1361	0.04400003
883_DvMF_0778	activation	883_DvMF_2021	0.22300005
883_DvMF_0778	activation	883_DvMF_2643	0.22300005
883_DvMF_0778	activation	883_DvMF_2939	0.22300005
883_DvMF_0778	activation	883_DvMF_1460	0.02699995
883_DvMF_1366	activation	883_DvMF_2550	0.120000005
883_DvMF_0466	activation	883_DvMF_3073	0.33599997
883_DvMF_0617	activation	883_DvMF_2550	0.120000005
883_DvMF_0466	activation	883_DvMF_3116	0.18900001
883_DvMF_0466	activation	883_DvMF_3181	0.18900001
883_DvMF_0466	activation	883_DvMF_0917	0.18900001
883_DvMF_0556	activation	883_DvMF_2643	0.22300005
883_DvMF_2257	activation	883_DvMF_0776	0.385
883_DvMF_0509	activation	883_DvMF_1361	0.04400003
883_DvMF_0466	activation	883_DvMF_0774	0.13999999
883_DvMF_0466	activation	883_DvMF_0621	0.35899997
883_DvMF_0466	activation	883_DvMF_0620	0.14899993
883_DvMF_0556	activation	883_DvMF_1361	0.04400003
883_DvMF_0556	activation	883_DvMF_2939	0.22300005
883_DvMF_0466	activation	883_DvMF_0780	0.09800005
883_DvMF_0556	activation	883_DvMF_1460	0.02699995
883_DvMF_0466	activation	883_DvMF_0793	0.33599997
883_DvMF_0466	activation	883_DvMF_0467	0.13999999
883_DvMF_0466	activation	883_DvMF_0563	0.33599997
883_DvMF_0466	activation	883_DvMF_0465	0.09800005
883_DvMF_0466	activation	883_DvMF_0619	0.13999999
883_DvMF_1624	activation	883_DvMF_1625	0.045000076
883_DvMF_0778	activation	883_DvMF_0621	0.35899997
883_DvMF_0778	activation	883_DvMF_0620	0.14899993
883_DvMF_0991	activation	883_DvMF_2939	0.22300005
883_DvMF_0778	activation	883_DvMF_0780	0.09800005
883_DvMF_0991	activation	883_DvMF_1460	0.02699995
883_DvMF_0778	activation	883_DvMF_0793	0.33599997
883_DvMF_0778	activation	883_DvMF_0563	0.33599997
883_DvMF_1477	activation	883_DvMF_2939	0.22300005
883_DvMF_0778	activation	883_DvMF_0465	0.09800005
883_DvMF_0778	activation	883_DvMF_0619	0.13999999
883_DvMF_0778	activation	883_DvMF_1209	0.35899997
883_DvMF_1088	activation	883_DvMF_2939	0.22300005
883_DvMF_0778	activation	883_DvMF_3073	0.33599997
883_DvMF_1088	activation	883_DvMF_1361	0.04400003
883_DvMF_0778	activation	883_DvMF_3116	0.18900001
883_DvMF_0778	activation	883_DvMF_3181	0.18900001
883_DvMF_1131	activation	883_DvMF_2939	0.22300005
883_DvMF_0778	activation	883_DvMF_1996	0.18900001
883_DvMF_0778	activation	883_DvMF_2182	0.33599997
883_DvMF_1102	activation	883_DvMF_2550	0.120000005
883_DvMF_0778	activation	883_DvMF_1156	0.18900001
883_DvMF_1131	activation	883_DvMF_2550	0.120000005
883_DvMF_0778	activation	883_DvMF_1501	0.33599997
883_DvMF_0824	activation	883_DvMF_0823	0.342
883_DvMF_0778	activation	883_DvMF_0917	0.18900001
883_DvMF_0778	activation	883_DvMF_1057	0.18900001
883_DvMF_1089	activation	883_DvMF_1361	0.04400003
883_DvMF_1089	activation	883_DvMF_2939	0.22300005
883_DvMF_1477	activation	883_DvMF_2550	0.120000005
883_DvMF_1631	activation	883_DvMF_1632	0.074
883_DvMF_0778	activation	883_DvMF_1869	0.18900001
883_DvMF_1537	activation	883_DvMF_2021	0.22300005
883_DvMF_1530	activation	883_DvMF_1460	0.02699995
883_DvMF_1530	activation	883_DvMF_1361	0.04400003
883_DvMF_1530	activation	883_DvMF_2939	0.22300005
883_DvMF_1537	activation	883_DvMF_1361	0.04400003
883_DvMF_1537	activation	883_DvMF_1460	0.02699995
883_DvMF_1537	activation	883_DvMF_2550	0.120000005
883_DvMF_1243	activation	883_DvMF_2643	0.22300005
883_DvMF_1102	activation	883_DvMF_2021	0.22300005
883_DvMF_1131	activation	883_DvMF_2021	0.22300005
883_DvMF_1102	activation	883_DvMF_1460	0.02699995
883_DvMF_1102	activation	883_DvMF_1361	0.04400003
883_DvMF_1102	activation	883_DvMF_2939	0.22300005
883_DvMF_0824	activation	883_DvMF_2149	0.342
883_DvMF_1858	activation	883_DvMF_2021	0.22300005
883_DvMF_1492	activation	883_DvMF_2332	0.059999943
883_DvMF_1492	activation	883_DvMF_2540	0.059999943
883_DvMF_1492	activation	883_DvMF_1419	0.059999943
883_DvMF_1858	activation	883_DvMF_1361	0.04400003
883_DvMF_1858	activation	883_DvMF_2550	0.120000005
883_DvMF_1530	activation	883_DvMF_2021	0.22300005
883_DvMF_1492	activation	883_DvMF_2010	0.059999943
883_DvMF_1492	activation	883_DvMF_2939	0.352
883_DvMF_1492	activation	883_DvMF_1460	0.20200002
883_DvMF_1492	activation	883_DvMF_0468	0.059999943
883_DvMF_1492	activation	883_DvMF_0226	0.059999943
883_DvMF_1907	activation	883_DvMF_2643	0.22300005
883_DvMF_1768	activation	883_DvMF_2021	0.22300005
883_DvMF_1907	activation	883_DvMF_1361	0.04400003
883_DvMF_1768	activation	883_DvMF_1460	0.02699995
883_DvMF_1768	activation	883_DvMF_1361	0.04400003
883_DvMF_1768	activation	883_DvMF_2939	0.22300005
883_DvMF_1544	activation	883_DvMF_2939	0.22300005
883_DvMF_1544	activation	883_DvMF_1460	0.02699995
883_DvMF_2133	activation	883_DvMF_1361	0.04400003
883_DvMF_2133	activation	883_DvMF_1460	0.02699995
883_DvMF_2249	activation	883_DvMF_2550	0.120000005
883_DvMF_2108	activation	883_DvMF_1460	0.02699995
883_DvMF_2249	activation	883_DvMF_2021	0.22300005
883_DvMF_1989	activation	883_DvMF_1361	0.04400003
883_DvMF_1989	activation	883_DvMF_2939	0.22300005
883_DvMF_1989	activation	883_DvMF_1460	0.02699995
883_DvMF_2249	activation	883_DvMF_2939	0.22300005
883_DvMF_0422	activation	883_DvMF_2584	0.38199997
883_DvMF_0423	activation	883_DvMF_2584	0.63600004
883_DvMF_2877	activation	883_DvMF_2584	0.91999996
883_DvMF_2878	activation	883_DvMF_2584	0.61800003
882_DVU2514	activation	882_DVU0479	0.051
394_NGR_c31670	activation	394_NGR_c10810	0.816
883_DvMF_2878	activation	883_DvMF_2877	0.35599995
883_DvMF_2878	activation	883_DvMF_0425	0.011999965
883_DvMF_2878	activation	883_DvMF_0423	0.513
883_DvMF_2878	activation	883_DvMF_0422	0.38199997
394_NGR_c28320	activation	394_NGR_c36250	0.40400004
394_NGR_c28170	activation	394_NGR_c10810	0.30400002
394_NGR_c28320	activation	394_NGR_c28170	0.16499996
394_NGR_c28320	activation	394_NGR_c31670	0.8069999
394_NGR_c00840	activation	394_NGR_c31670	0.41900003
883_DvMF_0423	activation	883_DvMF_2878	0.513
394_NGR_c28320	activation	394_NGR_c12000	0.35899997
394_NGR_c28320	activation	394_NGR_c08860	0.69200003
394_NGR_c00840	activation	394_NGR_c08860	0.15700006
394_NGR_c00840	activation	394_NGR_c37160	0.2520001
394_NGR_c00840	activation	394_NGR_c35720	0.01999998
883_DvMF_0466	activation	883_DvMF_2710	0.33599997
883_DvMF_0466	activation	883_DvMF_2988	0.18900001
394_NGR_c10810	activation	394_NGR_c36250	0.577
394_NGR_c36250	activation	394_NGR_c10810	0.577
394_NGR_c36250	activation	394_NGR_c00840	0.102
394_NGR_c36250	activation	394_NGR_c28320	0.40400004
394_NGR_c10810	activation	394_NGR_c12000	0.577
394_NGR_c10810	activation	394_NGR_c37160	0.577
394_NGR_c10810	activation	394_NGR_c35720	0.69200003
883_DvMF_2350	activation	883_DvMF_2021	0.22300005
883_DvMF_2350	activation	883_DvMF_2643	0.22300005
883_DvMF_2454	activation	883_DvMF_1361	0.04400003
883_DvMF_2454	activation	883_DvMF_1460	0.02699995
883_DvMF_2350	activation	883_DvMF_2939	0.22300005
883_DvMF_2350	activation	883_DvMF_1460	0.02699995
883_DvMF_2483	activation	883_DvMF_2939	0.22300005
883_DvMF_2483	activation	883_DvMF_1460	0.02699995
883_DvMF_2544	activation	883_DvMF_0226	0.059999943
883_DvMF_2544	activation	883_DvMF_0468	0.059999943
883_DvMF_2544	activation	883_DvMF_2021	0.352
883_DvMF_2544	activation	883_DvMF_2540	0.059999943
883_DvMF_2544	activation	883_DvMF_1419	0.059999943
883_DvMF_2539	activation	883_DvMF_2021	0.22300005
883_DvMF_2539	activation	883_DvMF_2643	0.22300005
883_DvMF_2539	activation	883_DvMF_2939	0.22300005
883_DvMF_2537	activation	883_DvMF_2021	0.22300005
883_DvMF_2454	activation	883_DvMF_2021	0.22300005
883_DvMF_2454	activation	883_DvMF_2643	0.22300005
883_DvMF_2537	activation	883_DvMF_2939	0.22300005
883_DvMF_2333	activation	883_DvMF_2643	0.22300005
883_DvMF_2544	activation	883_DvMF_2939	0.352
883_DvMF_2201	activation	883_DvMF_1419	0.059999943
883_DvMF_2201	activation	883_DvMF_2543	0.059999943
883_DvMF_2201	activation	883_DvMF_2332	0.059999943
883_DvMF_2201	activation	883_DvMF_2021	0.352
883_DvMF_2201	activation	883_DvMF_2540	0.059999943
883_DvMF_2201	activation	883_DvMF_2643	0.352
883_DvMF_2333	activation	883_DvMF_2939	0.22300005
883_DvMF_2189	activation	883_DvMF_2543	0.059999943
883_DvMF_2189	activation	883_DvMF_2332	0.059999943
883_DvMF_2189	activation	883_DvMF_2021	0.352
883_DvMF_2189	activation	883_DvMF_2643	0.352
883_DvMF_2189	activation	883_DvMF_1419	0.059999943
883_DvMF_2201	activation	883_DvMF_0226	0.059999943
883_DvMF_2201	activation	883_DvMF_0468	0.059999943
883_DvMF_2201	activation	883_DvMF_2010	0.059999943
883_DvMF_2201	activation	883_DvMF_1460	0.20200002
883_DvMF_2201	activation	883_DvMF_0775	0.059999943
883_DvMF_2189	activation	883_DvMF_2010	0.059999943
883_DvMF_2189	activation	883_DvMF_2939	0.352
883_DvMF_2189	activation	883_DvMF_1460	0.20200002
883_DvMF_2189	activation	883_DvMF_0226	0.059999943
883_DvMF_2758	activation	883_DvMF_1361	0.04400003
883_DvMF_2640	activation	883_DvMF_2021	0.22300005
883_DvMF_2637	activation	883_DvMF_2939	0.22300005
883_DvMF_2541	activation	883_DvMF_2643	0.22300005
883_DvMF_2640	activation	883_DvMF_2939	0.22300005
883_DvMF_2640	activation	883_DvMF_1460	0.02699995
883_DvMF_2541	activation	883_DvMF_1460	0.02699995
883_DvMF_2541	activation	883_DvMF_1361	0.04400003
883_DvMF_2731	activation	883_DvMF_2021	0.22300005
883_DvMF_2731	activation	883_DvMF_2939	0.22300005
883_DvMF_2731	activation	883_DvMF_1460	0.02699995
883_DvMF_2758	activation	883_DvMF_2643	0.22300005
883_DvMF_2541	activation	883_DvMF_2550	0.120000005
883_DvMF_2778	activation	883_DvMF_2643	0.22300005
883_DvMF_2762	activation	883_DvMF_2643	0.22300005
882_DVU0002	activation	882_DVU2085	0.18499994
882_DVU2085	activation	882_DVU0002	0.18499994
394_NGR_c02530	activation	394_NGR_c24630	0.19200003
394_NGR_c18610	activation	394_NGR_c24630	0.19200003
882_DVU3203	activation	882_DVU0002	0.411
882_DVU2643	activation	882_DVU0479	0.03699994
882_DVU0002	activation	882_DVU0496	0.5439999
882_DVU2902	activation	882_DVU0479	0.12800002
394_NGR_c16660	reaction	394_NGR_c28680	0.32799995
394_NGR_c16660	reaction	394_NGR_c24760	0.32799995
394_NGR_c24800	reaction	394_NGR_c28680	0.32799995
882_DVU1973	reaction	882_DVU2092	0.13800001
882_DVU3037	reaction	882_DVU2092	0.13800001
882_DVU3037	reaction	882_DVU0643	0.13800001
882_DVU1973	reaction	882_DVU0643	0.13800001
394_NGR_c28320	reaction	394_NGR_c37090	0.296
394_NGR_c28320	reaction	394_NGR_c11820	0.7279999
394_NGR_c28320	reaction	394_NGR_c10810	0.783
394_NGR_c00840	reaction	394_NGR_c11820	0.776
394_NGR_c32170	reaction	394_NGR_c13370	0.69200003
394_NGR_c32170	reaction	394_NGR_c10810	0.793
394_NGR_c32170	reaction	394_NGR_c37090	0.702
394_NGR_c32170	reaction	394_NGR_c11820	0.796
394_NGR_c13370	reaction	394_NGR_c11820	0.049999952
394_NGR_c13370	reaction	394_NGR_c10810	0.69200003
394_NGR_c31670	reaction	394_NGR_c37090	0.65199995
394_NGR_c31670	reaction	394_NGR_c11820	0.796
394_NGR_c31670	reaction	394_NGR_c10810	0.793
394_NGR_c23620	reaction	394_NGR_c16710	0.062999964
394_NGR_c12580	reaction	394_NGR_c15400	0.796
394_NGR_c35500	reaction	394_NGR_c16710	0.062999964
883_DvMF_2544	reaction	883_DvMF_0898	0.09399998
883_DvMF_2201	reaction	883_DvMF_0222	0.09399998
883_DvMF_2189	reaction	883_DvMF_0898	0.09399998
883_DvMF_2201	reaction	883_DvMF_0898	0.09399998
882_DVU3262	reaction	882_DVU3263	0.572
882_DVU0847	reaction	882_DVU3261	0.38300002
394_NGR_c32170	reaction	394_NGR_c11160	0.584
394_NGR_c13370	reaction	394_NGR_c36260	0.69200003
394_NGR_c31670	reaction	394_NGR_c36260	0.796
394_NGR_c31670	reaction	394_NGR_c35720	0.69200003
394_NGR_c31670	reaction	394_NGR_c32230	0.69200003
394_NGR_c32170	reaction	394_NGR_c33950	0.584
394_NGR_c28320	reaction	394_NGR_c32230	0.49199998
394_NGR_c31670	reaction	394_NGR_c33950	0.11800003
394_NGR_c28320	reaction	394_NGR_c08870	0.69200003
394_NGR_c28320	reaction	394_NGR_c08860	0.69200003
394_NGR_c00840	reaction	394_NGR_c35720	0.01999998
394_NGR_c00840	reaction	394_NGR_c08860	0.27199996
394_NGR_c00840	reaction	394_NGR_c32230	0.31599998
394_NGR_c00840	reaction	394_NGR_c33950	0.075999975
882_DVU0847	reaction	882_DVU2674	0.16400003
882_DVU3110	reaction	882_DVU2674	0.16400003
882_DVU3110	reaction	882_DVU3263	0.16400003
394_NGR_c32170	reaction	394_NGR_c08870	0.69200003
394_NGR_c31670	reaction	394_NGR_c08870	0.69200003
394_NGR_c31670	reaction	394_NGR_c11900	0.69200003
394_NGR_c13370	reaction	394_NGR_c11900	0.69200003
394_NGR_c28320	reaction	394_NGR_c11900	0.69200003
394_NGR_c32170	reaction	394_NGR_c11890	0.055999994
394_NGR_c32170	reaction	394_NGR_c11730	0.055999994
394_NGR_c31670	reaction	394_NGR_c11730	0.16199994
394_NGR_c32170	reaction	394_NGR_c11900	0.69200003
394_NGR_c31370	reaction	394_NGR_c31340	0.72300005
394_NGR_c32170	reaction	394_NGR_c12610	0.29999995
394_NGR_c31670	reaction	394_NGR_c12610	0.29999995
882_DVU1205	reaction	882_DVU1204	0.5610001
882_DVU1205	reaction	882_DVU2563	0.388
394_NGR_c28320	reaction	394_NGR_c12610	0.296
882_DVU0775	reaction	882_DVU0776	0.91999996
882_DVU0775	reaction	882_DVU0918	0.90999997
394_NGR_c31370	reaction	394_NGR_c31350	0.778
394_NGR_c00840	reaction	394_NGR_c12150	0.7950001
394_NGR_c00840	reaction	394_NGR_c11880	0.646
882_DVU3262	reaction	882_DVU3261	0.564
394_NGR_c31670	reaction	394_NGR_c32170	0.796
394_NGR_c13370	reaction	394_NGR_c00840	0.646
394_NGR_c31670	reaction	394_NGR_c13370	0.796
394_NGR_c31670	reaction	394_NGR_c00840	0.7950001
394_NGR_c32170	reaction	394_NGR_c10220	0.69200003
394_NGR_c32170	reaction	394_NGR_c13340	0.69200003
394_NGR_c32170	reaction	394_NGR_c12150	0.796
394_NGR_c28320	reaction	394_NGR_c31670	0.79200006
394_NGR_c32170	reaction	394_NGR_c11860	0.69200003
394_NGR_c32170	reaction	394_NGR_c11880	0.09000003
394_NGR_c28320	reaction	394_NGR_c32170	0.791
394_NGR_c13370	reaction	394_NGR_c13340	0.69200003
394_NGR_c31670	reaction	394_NGR_c10220	0.69200003
394_NGR_c31670	reaction	394_NGR_c13340	0.69200003
394_NGR_c31670	reaction	394_NGR_c11870	0.69200003
394_NGR_c31670	reaction	394_NGR_c11860	0.69200003
394_NGR_c31670	reaction	394_NGR_c11880	0.796
394_NGR_c31670	reaction	394_NGR_c12150	0.796
