"",h,rel,t
3049,concept:damagedinbombing,range,concept:bombingevent
3050,concept:protestinjured,range,concept:person
3051,concept:companycompetingwithproduuctlaunch,range,concept:productlaunchevent
3052,concept:inverseofstateorprovinceattainstrainstation,range,concept:stateorprovince
3053,concept:buildingispartofuniversity,range,concept:university
3054,concept:objectlookslikeobject,range,concept:visualizablething
3055,concept:politicalparty:world,type,concept:politicalparty
3056,concept:televisionstation:kcra_tv,type,concept:televisionstation
3057,concept:clothing:dark_tie,type,concept:clothing
3058,concept:person:kosuke_fukudome,type,concept:person
3059,concept:jobposition:executive_associate,type,concept:jobposition
3060,concept:city:rose_garden,type,concept:city
3061,concept:city:waimanalo,type,concept:city
3062,concept:geopoliticalorganization:north_miami,type,concept:geopoliticalorganization
3063,concept:chemical:slate,type,concept:chemical
3064,concept:ceo:roger_smith,type,concept:ceo
3065,concept:city:cheyenne,type,concept:city
3066,concept:building:service,type,concept:building
3067,concept:company:kjla_tv,type,concept:company
3068,concept:city:cape_verde,type,concept:city
3069,concept:amphibian:familiar_animals,type,concept:amphibian
3070,concept:musicartist:sheryl_crow,type,concept:musicartist
3071,concept:city:mcminnville,type,concept:city
3072,concept:bank:citigroup_global_markets,type,concept:bank
3073,concept:city:la_quinta,type,concept:city
3074,concept:politicianus:felix_rodriguez,type,concept:politicianus
3075,concept:organization:los_angeles_clippers_tickets,type,concept:organization
3076,concept:company:hershey_foods_corporation,type,concept:company
3077,concept:radiostation:kjud,type,concept:radiostation
3078,concept:chemical:resins,type,concept:chemical
3079,concept:county:fayetteville,type,concept:county
3080,concept:newspaper:daily,type,concept:newspaper
3081,concept:ceo:james_mcnerney,type,concept:ceo
3082,concept:musician:david_bazan,type,concept:musician
3083,concept:hobby:playground,type,concept:hobby
3084,concept:personus:kaz_matsui,type,concept:personus
3085,concept:company:enterprise,type,concept:company
3086,concept:company:kalido,type,concept:company
3087,concept:personus:michael_arrington,type,concept:personus
3088,concept:sportsteam:virginia_union_panthers,type,concept:sportsteam
3089,concept:agriculturalproduct:leaks,type,concept:agriculturalproduct
3090,concept:musicalbum:request,type,concept:musicalbum
3091,concept:county:crowley,type,concept:county
3092,concept:city:homestead,type,concept:city
3093,concept:restaurant:area_restaurants,type,concept:restaurant
3094,concept:politicsissue:responsibility,type,concept:politicsissue
3095,concept:newspaper:times_union,type,concept:newspaper
3096,concept:sportsteam:texas_san_antonio_roadrunners,type,concept:sportsteam
3097,concept:radiostation:wchs,type,concept:radiostation
3098,concept:athlete:tyler_colvin,type,concept:athlete
3099,concept:city:shreveport,type,concept:city
3100,concept:bird:babblers,type,concept:bird
3101,concept:vein:macula,type,concept:vein
3102,concept:visualizablescene:major_american_city,type,concept:visualizablescene
3103,concept:tradeunion:issues,type,concept:tradeunion
3104,concept:stadiumoreventvenue:cumberland_county_civic_center,type,concept:stadiumoreventvenue
3105,concept:televisionshow:heroes,type,concept:televisionshow
3106,concept:university:north_carolina_state,type,concept:university
3107,concept:city:bayside,type,concept:city
3108,concept:journalist:james_rainey,type,concept:journalist
3109,concept:company:national_action_network,type,concept:company
3110,concept:city:garfield_heights,type,concept:city
3111,concept:geopoliticalorganization:stockbridge,type,concept:geopoliticalorganization
3112,concept:geopoliticalorganization:samos,type,concept:geopoliticalorganization
3113,concept:wallitem:face,type,concept:wallitem
3114,concept:male:ideas,type,concept:male
3115,concept:newspaper:usa_today,type,concept:newspaper
3116,concept:eventoutcome:call,type,concept:eventoutcome
3117,concept:dateliteral:n1923,type,concept:dateliteral
3118,concept:mlauthor:test,type,concept:mlauthor
3119,concept:musicartist:zakk_wylde,type,concept:musicartist
3120,concept:professor:affairs_david_b_,type,concept:professor
3121,concept:reptile:references,type,concept:reptile
3122,concept:journalist:cynthia_mcfadden,type,concept:journalist
3123,concept:geopoliticalorganization:dalaman,type,concept:geopoliticalorganization
3124,concept:magazine:geo_magazine,type,concept:magazine
3125,concept:politician:helen_clark,type,concept:politician
3126,concept:scientist:joel_osteen,type,concept:scientist
3127,concept:website:guadalajara,type,concept:website
3128,concept:musician:geddy_lee,type,concept:musician
3129,concept:personcanada:scott_stewart,type,concept:personcanada
3130,concept:museum:season,type,concept:museum
3131,concept:person:lawrence,type,concept:person
3132,concept:parlourgame:five_minutes,type,concept:parlourgame
3133,concept:professionalorganization:siam,type,concept:professionalorganization
3134,concept:radiostation:kriv,type,concept:radiostation
3135,concept:biotechcompany:duke_energy_corporation,type,concept:biotechcompany
3136,concept:city:bandar_lengeh,type,concept:city
3137,concept:website:national_law_journal,type,concept:website
3138,concept:musicfestival:webster_hall,type,concept:musicfestival
3139,concept:clothing:conservative_suit,type,concept:clothing
3140,concept:physicalaction:projects,type,concept:physicalaction
3141,concept:stadiumoreventvenue:radio_city_music_hall,type,concept:stadiumoreventvenue
3142,concept:city:sun_valley,type,concept:city
3143,concept:stadiumoreventvenue:sun_devil_stadium,type,concept:stadiumoreventvenue
3144,concept:personus:jonathan_ornstein,type,concept:personus
3145,concept:televisionshow:teams,type,concept:televisionshow
3146,concept:newspaper:the_people,type,concept:newspaper
3147,concept:politicaloffice:white,type,concept:politicaloffice
3148,concept:stateorprovince:ocala,type,concept:stateorprovince
3149,concept:politicianus:thomas_wilson,type,concept:politicianus
3150,concept:coach:gruden,type,concept:coach
3151,concept:nongovorganization:nixon_center,type,concept:nongovorganization
3152,concept:country:credit,type,concept:country
3153,concept:website:worldnetdaily__com,type,concept:website
3154,concept:jobposition:suburbs,type,concept:jobposition
3155,concept:televisionstation:msnbc,type,concept:televisionstation
3156,concept:televisionstation:klcs,type,concept:televisionstation
3157,concept:person:william_cody,type,concept:person
3158,concept:clothing:fedoras,type,concept:clothing
3159,concept:sportsteam:timberwolves,type,concept:sportsteam
3160,concept:stadiumoreventvenue:edward_jones_dome,type,concept:stadiumoreventvenue
3161,concept:shoppingmall:finance,type,concept:shoppingmall
3162,concept:mammal:wolverines,type,concept:mammal
3163,concept:city:city_of_london,type,concept:city
3164,concept:clothing:tee_shirt,type,concept:clothing
3165,concept:city:cambridge,type,concept:city
3166,concept:company:today_show,type,concept:company
3167,concept:website:filters,type,concept:website
3168,concept:city:glens_falls,type,concept:city
3169,concept:sportsteam:william_paterson_pioneers,type,concept:sportsteam
3170,concept:televisionstation:wsyx_tv,type,concept:televisionstation
3171,concept:clothing:wrap_dress,type,concept:clothing
3172,concept:newspaper:herald,type,concept:newspaper
3173,concept:organization:lvmh_group,type,concept:organization
3174,concept:terroristorganization:lebanon,type,concept:terroristorganization
3175,concept:city:biloxi,type,concept:city
3176,concept:website:hakia_and_powerset,type,concept:website
3177,concept:personus:john_roland,type,concept:personus
3178,concept:personeurope:roque_santa_cruz,type,concept:personeurope
3179,concept:weatherphenomenon:two,type,concept:weatherphenomenon
3180,concept:publication:corner,type,concept:publication
3181,concept:person:michael_stipe,type,concept:person
3182,concept:zoo:highland_lake,type,concept:zoo
3183,concept:politicianus:mitt_romney,type,concept:politicianus
3184,concept:blog:wordpress_com,type,concept:blog
3185,concept:male:bobby_bowden,type,concept:male
3186,concept:website:_google_,type,concept:website
3187,concept:clothing:dresses,type,concept:clothing
3188,concept:newspaper:post_gazette,type,concept:newspaper
3189,concept:hotel:hotel_sax,type,concept:hotel
3190,concept:arthropod:pollinators,type,concept:arthropod
3191,concept:hotel:super_8_downtown,type,concept:hotel
3192,concept:governmentorganization:wales_office,type,concept:governmentorganization
3193,concept:city:harvard,type,concept:city
3194,concept:hotel:london_house,type,concept:hotel
3195,concept:blog:the_sun_newspaper,type,concept:blog
3196,concept:city:shizuoka,type,concept:city
3197,concept:nonprofitorganization:carnegie_hall,type,concept:nonprofitorganization
3198,concept:person:philippe_burke,type,concept:person
3199,concept:sportsteam:southern_methodist_mustangs,type,concept:sportsteam
3200,concept:mldataset:n25,type,concept:mldataset
3201,concept:geopoliticallocation:richfield,type,concept:geopoliticallocation
3202,concept:company:kgin,type,concept:company
3203,concept:person:marvin_kalb,type,concept:person
3204,concept:musician:static_x,type,concept:musician
3205,concept:book:society,type,concept:book
3206,concept:televisionstation:wtlj,type,concept:televisionstation
3207,concept:date:crisis,type,concept:date
3208,concept:county:blawnox,type,concept:county
3209,concept:mammal:prairie_dogs,type,concept:mammal
3210,concept:geopoliticalorganization:kollam,type,concept:geopoliticalorganization
3211,concept:governmentorganization:transportation_department,type,concept:governmentorganization
3212,concept:visualizablescene:santa_ynez,type,concept:visualizablescene
3213,concept:personmexico:adult,type,concept:personmexico
3214,concept:musicalbum:supervision,type,concept:musicalbum
3215,concept:clothing:summer_dress,type,concept:clothing
3216,concept:clothing:red_jacket,type,concept:clothing
3217,concept:journalist:gene_frenette,type,concept:journalist
3218,concept:county:crewe,type,concept:county
3219,concept:musicartist:tab_content,type,concept:musicartist
3220,concept:sportsteam:texas_western,type,concept:sportsteam
3221,concept:date:last_one,type,concept:date
3222,concept:website:pownce,type,concept:website
3223,concept:visualizablescene:tirunelveli,type,concept:visualizablescene
3224,concept:city:philly,type,concept:city
3225,concept:person:y_c_deveshwar,type,concept:person
3226,concept:city:loxahatchee,type,concept:city
3227,concept:sportsteam:temple_owls,type,concept:sportsteam
3228,concept:person:mitch_hecht,type,concept:person
3229,concept:company:fema,type,concept:company
3230,concept:website:money_magazine,type,concept:website
3231,concept:product:section,type,concept:product
3232,concept:company:summize,type,concept:company
3233,concept:automobilemaker:tag_heuer,type,concept:automobilemaker
3234,concept:geopoliticallocation:dakota_state,type,concept:geopoliticallocation
3235,concept:emotion:expense,type,concept:emotion
3236,concept:musicartist:explore,type,concept:musicartist
3237,concept:organization:australia,type,concept:organization
3238,concept:lake:yankeetown,type,concept:lake
3239,concept:newspaper:journal_archives,type,concept:newspaper
3240,concept:city:simpson,type,concept:city
3241,concept:mlmetric:n9_2,type,concept:mlmetric
3242,concept:city:humboldt,type,concept:city
3243,concept:shoppingmall:columbia,type,concept:shoppingmall
3244,concept:sportsteam:rangers,type,concept:sportsteam
3245,concept:musician:jil,type,concept:musician
3246,concept:county:bolton,type,concept:county
3247,concept:musicsong:one_point,type,concept:musicsong
3248,concept:city:owings_mills,type,concept:city
3249,concept:clothing:bermuda_shorts,type,concept:clothing
3250,concept:clothing:wear,type,concept:clothing
3251,concept:city:province,type,concept:city
3252,concept:language:mot,type,concept:language
3253,concept:sportsteam:memphis_tigers,type,concept:sportsteam
3254,concept:academicfield:technology_graduate_program,type,concept:academicfield
3255,concept:building:miles,type,concept:building
3256,concept:color:champagne,type,concept:color
3257,concept:televisionstation:wlwc,type,concept:televisionstation
3258,concept:city:montpellier,type,concept:city
3259,concept:buildingmaterial:pa,type,concept:buildingmaterial
3260,concept:videogame:def_jam,type,concept:videogame
3261,concept:website:scientific_american,type,concept:website
3262,concept:beverage:fresh_water,type,concept:beverage
3263,concept:sportsteam:william_penn_statesmen,type,concept:sportsteam
3264,concept:language:lithuanian,type,concept:language
3265,concept:physicalaction:defense,type,concept:physicalaction
3266,concept:visualizablescene:cape_breton,type,concept:visualizablescene
3267,concept:clothing:walking_shoes,type,concept:clothing
3268,concept:geometricshape:categories,type,concept:geometricshape
3269,concept:journalist:bob_ryan,type,concept:journalist
3270,concept:city:st__augustine,type,concept:city
3271,concept:city:pasadena,type,concept:city
3272,concept:year:lady,type,concept:year
3273,concept:farm:cole_farms,type,concept:farm
3274,concept:writer:adams,type,concept:writer
3275,concept:website:nairobi,type,concept:website
3276,concept:politicsblog:miami_herald,type,concept:politicsblog
3277,concept:televisionstation:ksl,type,concept:televisionstation
3278,concept:stadiumoreventvenue:gillette_stadium,type,concept:stadiumoreventvenue
3279,concept:householditem:valley,type,concept:householditem
3280,concept:currency:pesos,type,concept:currency
3281,concept:plant:bouquets,type,concept:plant
3282,concept:room:cabinet_level,type,concept:room
3283,concept:stateorprovince:andhra_pradesh,type,concept:stateorprovince
3284,concept:politicianus:mike_davis,type,concept:politicianus
3285,concept:governmentorganization:federal_court,type,concept:governmentorganization
3286,concept:person:peter_alexander,type,concept:person
3287,concept:politicsblog:philadelphia_inquirer,type,concept:politicsblog
3288,concept:trainstation:silver_spring,type,concept:trainstation
3289,concept:professor:bradford_cox,type,concept:professor
3290,concept:vegetable:tarragon,type,concept:vegetable
3291,concept:personaustralia:frank,type,concept:personaustralia
3292,concept:city:amman,type,concept:city
3293,concept:city:liverpool,type,concept:city
3294,concept:clothing:leg_warmers,type,concept:clothing
3295,concept:personus:al_reyes,type,concept:personus
3296,concept:geopoliticallocation:gardena,type,concept:geopoliticallocation
3297,concept:bank:media_mail,type,concept:bank
3298,concept:athlete:wade_davis,type,concept:athlete
3299,concept:blog:new_york_magazine,type,concept:blog
3300,concept:musician:john_concert,type,concept:musician
3301,concept:city:shandong,type,concept:city
3302,concept:governmentorganization:navajo_nation_office,type,concept:governmentorganization
3303,concept:ceo:james_goodnight,type,concept:ceo
3304,concept:physicalcharacteristic:strictest,type,concept:physicalcharacteristic
3305,concept:athlete:alexi_ramirez,type,concept:athlete
3306,concept:governmentorganization:general_accounting_office,type,concept:governmentorganization
3307,concept:sportsteam:grand_valley_state_l,type,concept:sportsteam
3308,concept:mammal:domesticated_animals,type,concept:mammal
3309,concept:person:dana_perino,type,concept:person
3310,concept:language:yiddish,type,concept:language
3311,concept:journalist:fred_russell,type,concept:journalist
3312,concept:televisionstation:nm,type,concept:televisionstation
3313,concept:company:mile_high_comics,type,concept:company
3314,concept:nut:kraft,type,concept:nut
3315,concept:geopoliticallocation:southern_california,type,concept:geopoliticallocation
3316,concept:country:countries_catalonia,type,concept:country
3317,concept:personmexico:alberto_arias,type,concept:personmexico
3318,concept:coach:wife,type,concept:coach
3319,concept:academicfield:accommodation,type,concept:academicfield
3320,concept:televisionstation:kbnt,type,concept:televisionstation
3321,concept:criminal:faction,type,concept:criminal
3322,concept:biotechcompany:covidien,type,concept:biotechcompany
3323,concept:stadiumoreventvenue:york_city_center,type,concept:stadiumoreventvenue
3324,concept:televisionstation:wmaw_tv,type,concept:televisionstation
3325,concept:politicianus:lady_bird_johnson,type,concept:politicianus
3326,concept:sportsteam:hardin_simmons_university,type,concept:sportsteam
3327,concept:academicfield:environment_the_ministry,type,concept:academicfield
3328,concept:chemical:flue_gas,type,concept:chemical
3329,concept:geopoliticallocation:texas_tech,type,concept:geopoliticallocation
3330,concept:website:stumble_upon,type,concept:website
3331,concept:personnorthamerica:lehman,type,concept:personnorthamerica
3332,concept:city:grand_turk,type,concept:city
3333,concept:politicianus:chris_lee,type,concept:politicianus
3334,concept:politicianus:mike_krzyzewski,type,concept:politicianus
3335,concept:profession:farmers,type,concept:profession
3336,concept:personafrica:hal_fishman,type,concept:personafrica
3337,concept:language:sindhi,type,concept:language
3338,concept:politicsblog:shows,type,concept:politicsblog
3339,concept:ceo:vijay_mallya,type,concept:ceo
3340,concept:city:santos,type,concept:city
3341,concept:publication:la_magazine,type,concept:publication
3342,concept:musicartist:rickie_lee_jones,type,concept:musicartist
3343,concept:governmentorganization:florida_state_department,type,concept:governmentorganization
3344,concept:animal:b_c__lions,type,concept:animal
3345,concept:governmentorganization:energy_office,type,concept:governmentorganization
3346,concept:clothing:navy_slacks,type,concept:clothing
3347,concept:musician:scott_henderson,type,concept:musician
3348,concept:person:chien_ming_wang,type,concept:person
3349,concept:person:tim_russert,type,concept:person
3350,concept:location:snoqualmie_pass,type,concept:location
3351,concept:building:residences,type,concept:building
3352,concept:person:cheney,type,concept:person
3353,concept:retailstore:shoppers,type,concept:retailstore
3354,concept:biotechcompany:amgen,type,concept:biotechcompany
3355,concept:clothing:silk_shirt,type,concept:clothing
3356,concept:clothing:velvet_jacket,type,concept:clothing
3357,concept:county:star,type,concept:county
3358,concept:chemical:complete_water,type,concept:chemical
3359,concept:visualizablescene:farnborough,type,concept:visualizablescene
3360,concept:hotel:days_inn,type,concept:hotel
3361,concept:female:tweedy,type,concept:female
3362,concept:stateorprovince:virgina,type,concept:stateorprovince
3363,concept:buildingfeature:conservatory,type,concept:buildingfeature
3364,concept:personnorthamerica:rediff,type,concept:personnorthamerica
3365,concept:hotel:summit,type,concept:hotel
3366,concept:chemical:pipes,type,concept:chemical
3367,concept:athlete:al_kaline,type,concept:athlete
3368,concept:company:bose,type,concept:company
3369,concept:videogame:breakthrough,type,concept:videogame
3370,concept:shoppingmall:market_place,type,concept:shoppingmall
3371,concept:criminal:mike_price,type,concept:criminal
3372,concept:geopoliticallocation:freehold,type,concept:geopoliticallocation
3373,concept:ceo:ginni_rometty,type,concept:ceo
3374,concept:musicartist:sonny_stitt,type,concept:musicartist
3375,concept:governmentorganization:u_s__postal,type,concept:governmentorganization
3376,concept:radiostation:wcvb,type,concept:radiostation
3377,concept:animal:fowl,type,concept:animal
3378,concept:vertebrate:cheetahs,type,concept:vertebrate
3379,concept:coach:sidney_blumenthal,type,concept:coach
3380,concept:politicianus:barrack_obama,type,concept:politicianus
3381,concept:politicianus:bernie_sanders,type,concept:politicianus
3382,concept:stadiumoreventvenue:sprint_center,type,concept:stadiumoreventvenue
3383,concept:company:imac,type,concept:company
3384,concept:parlourgame:nine_hours,type,concept:parlourgame
3385,concept:coach:dana_holgorsen,type,concept:coach
3386,concept:televisionstation:wpto,type,concept:televisionstation
3387,concept:stateorprovince:shaft,type,concept:stateorprovince
3388,concept:sociopolitical:marshall_town,type,concept:sociopolitical
3389,concept:politicsblog:omaha_world_herald,type,concept:politicsblog
3390,concept:eventoutcome:sale,type,concept:eventoutcome
3391,concept:emotion:offence,type,concept:emotion
3392,concept:geopoliticallocation:youngstown,type,concept:geopoliticallocation
3393,concept:academicfield:past,type,concept:academicfield
3394,concept:governmentorganization:education_department,type,concept:governmentorganization
3395,concept:invertebrate:climate,type,concept:invertebrate
3396,concept:city:namur,type,concept:city
3397,concept:male:brisbane,type,concept:male
3398,concept:politicianus:jim,type,concept:politicianus
3399,concept:coach:new_york_jets,type,concept:coach
3400,concept:politicsblog:money_magazine,type,concept:politicsblog
3401,concept:company:twitter_america,type,concept:company
3402,concept:location:benbrook,type,concept:location
3403,concept:male:alexa,type,concept:male
3404,concept:clothing:blue_denim_jeans,type,concept:clothing
3405,concept:sportsteam:unf_ospreys,type,concept:sportsteam
3406,concept:radiostation:wcia,type,concept:radiostation
3407,concept:politicsissue:long_term_water,type,concept:politicsissue
3408,concept:city:sabres,type,concept:city
3409,concept:musicartist:zombies,type,concept:musicartist
3410,concept:programminglanguage:development,type,concept:programminglanguage
3411,concept:clothing:tee_shirts,type,concept:clothing
3412,concept:geopoliticallocation:allier,type,concept:geopoliticallocation
3413,concept:hobby:inverness,type,concept:hobby
3414,concept:comedian:bob_young,type,concept:comedian
3415,concept:company:index_new_pages,type,concept:company
3416,concept:blog:drudge,type,concept:blog
3417,concept:professor:nova_spivack,type,concept:professor
3418,concept:visualizablething:vibrant_city,type,concept:visualizablething
3419,concept:retailstore:peebles,type,concept:retailstore
3420,concept:musician:michael_wolff,type,concept:musician
3421,concept:hobby:writers,type,concept:hobby
3422,concept:eventoutcome:practice,type,concept:eventoutcome
3423,concept:radiostation:wbbm,type,concept:radiostation
3424,concept:room:coast,type,concept:room
3425,concept:mldataset:n20,type,concept:mldataset
3426,concept:person:don_l__blankenship,type,concept:person
3427,concept:city:tampere,type,concept:city
3428,concept:ceo:brian_moynihan,type,concept:ceo
3429,concept:company:standard_ml,type,concept:company
3430,concept:county:health,type,concept:county
3431,concept:book:electricity,type,concept:book
3432,concept:coach:june_jones,type,concept:coach
3433,concept:insect:locusts,type,concept:insect
3434,concept:clothing:summer_shorts,type,concept:clothing
3435,concept:journalist:peter_kerasotis,type,concept:journalist
3436,concept:geometricshape:binary,type,concept:geometricshape
3437,concept:geopoliticalorganization:zimbabwean_government,type,concept:geopoliticalorganization
3438,concept:governmentorganization:cabinet,type,concept:governmentorganization
3439,concept:governmentorganization:payments,type,concept:governmentorganization
3440,concept:book:rangoon,type,concept:book
3441,concept:transportation:modern_air,type,concept:transportation
3442,concept:politicsblog:american_banker,type,concept:politicsblog
3443,concept:personmexico:michael_young,type,concept:personmexico
3444,concept:beach:new_lisbon,type,concept:beach
3445,concept:politicianus:verity,type,concept:politicianus
3446,concept:city:baker,type,concept:city
3447,concept:writer:deepak_chopra,type,concept:writer
3448,concept:website:widget,type,concept:website
3449,concept:emotion:wealth,type,concept:emotion
3450,concept:animal:llamas,type,concept:animal
3451,concept:person:richard_riordan,type,concept:person
3452,concept:personcanada:official_website,type,concept:personcanada
3453,concept:nondiseasecondition:nursing,type,concept:nondiseasecondition
3454,concept:blog:script,type,concept:blog
3455,concept:insect:large_mammals,type,concept:insect
3456,concept:mlsoftware:p_g,type,concept:mlsoftware
3457,concept:hotel:dates,type,concept:hotel
3458,concept:city:carolina,type,concept:city
3459,concept:newspaper:oregonian,type,concept:newspaper
3460,concept:clothing:wash_jeans,type,concept:clothing
3461,concept:website:associates,type,concept:website
3462,concept:city:northwood,type,concept:city
3463,concept:company:kplc,type,concept:company
3464,concept:televisionstation:wunu,type,concept:televisionstation
3465,concept:ceo:stephen_hester,type,concept:ceo
3466,concept:trainstation:aspen_hill,type,concept:trainstation
3467,concept:nongovorganization:citizen,type,concept:nongovorganization
3468,concept:mammal:answers,type,concept:mammal
3469,concept:chemical:harmful_u_s_,type,concept:chemical
3470,concept:stadiumoreventvenue:hummingbird_centre,type,concept:stadiumoreventvenue
3471,concept:weapon:community,type,concept:weapon
3472,concept:athlete:aberdeen,type,concept:athlete
3473,concept:person:jeroen_van_der_veer,type,concept:person
3474,concept:street:access,type,concept:street
3475,concept:radiostation:ktvk_tv,type,concept:radiostation
3476,concept:sportsteam:pasadena_city_college_lancers,type,concept:sportsteam
3477,concept:publication:the_los_angeles_times_book_review,type,concept:publication
3478,concept:highway:south,type,concept:highway
3479,concept:city:old_saybrook,type,concept:city
3480,concept:sportsteam:texas_a_and_m_commerce_lions,type,concept:sportsteam
3481,concept:ceo:jorge_perez,type,concept:ceo
3482,concept:monarch:paul_vi,type,concept:monarch
3483,concept:publication:business_weekly,type,concept:publication
3484,concept:country:same_time,type,concept:country
3485,concept:bank:westpac_new_zealand_limited,type,concept:bank
3486,concept:city:mentone,type,concept:city
3487,concept:personcanada:john_allison,type,concept:personcanada
3488,concept:county:belfast,type,concept:county
3489,concept:mammal:clients,type,concept:mammal
3490,concept:mlalgorithm:nodes,type,concept:mlalgorithm
3491,concept:newspaper:new_york_times_business_section,type,concept:newspaper
3492,concept:televisionstation:wpbf,type,concept:televisionstation
3493,concept:governmentorganization:fdic,type,concept:governmentorganization
3494,concept:televisionstation:wood,type,concept:televisionstation
3495,concept:politicsblog:new_york_times_book_review,type,concept:politicsblog
3496,concept:county:hightstown,type,concept:county
3497,concept:geopoliticallocation:gaithersburg,type,concept:geopoliticallocation
3498,concept:geopoliticallocation:banja_luka,type,concept:geopoliticallocation
3499,concept:university:parsons_school_of_design,type,concept:university
3500,concept:museum:steve,type,concept:museum
3501,concept:personeurope:daily_mail,type,concept:personeurope
3502,concept:city:mayfield,type,concept:city
3503,concept:company:las_vegas_sands_corporation,type,concept:company
3504,concept:geopoliticalorganization:amherst,type,concept:geopoliticalorganization
3505,concept:vehicle:states,type,concept:vehicle
3506,concept:company:frontier,type,concept:company
3507,concept:personcanada:steve_hartman,type,concept:personcanada
3508,concept:politicianus:peter_bond,type,concept:politicianus
3509,concept:city:elmwood_park,type,concept:city
3510,concept:company:kpsd_tv,type,concept:company
3511,concept:buildingfeature:section,type,concept:buildingfeature
3512,concept:politicianus:rage_against_the_machine,type,concept:politicianus
3513,concept:sportsteam:national_louis,type,concept:sportsteam
3514,concept:person:levon_ter_petrosyan,type,concept:person
3515,concept:geopoliticallocation:brindisi,type,concept:geopoliticallocation
3516,concept:radiostation:kipt,type,concept:radiostation
3517,concept:politicsblog:richmond_times_dispatch,type,concept:politicsblog
3518,concept:stateorprovince:boss,type,concept:stateorprovince
3519,concept:organization:patagonia,type,concept:organization
3520,concept:physicalaction:certified,type,concept:physicalaction
3521,concept:clothing:flowy_skirt,type,concept:clothing
3522,concept:musicartist:quiet_riot,type,concept:musicartist
3523,concept:sportsteam:colorado_state,type,concept:sportsteam
3524,concept:clothing:red_trousers,type,concept:clothing
3525,concept:geopoliticalorganization:uk_,type,concept:geopoliticalorganization
3526,concept:farm:extension,type,concept:farm
3527,concept:company:ba,type,concept:company
3528,concept:stadiumoreventvenue:cruzan_amphitheatre,type,concept:stadiumoreventvenue
3529,concept:sportsteamposition:central_african_republic,type,concept:sportsteamposition
3530,concept:sociopolitical:incentive,type,concept:sociopolitical
3531,concept:geopoliticallocation:encinitas,type,concept:geopoliticallocation
3532,concept:clothing:corduroy,type,concept:clothing
3533,concept:retailstore:downeast,type,concept:retailstore
3534,concept:person:pitt,type,concept:person
3535,concept:physicalcharacteristic:struggle,type,concept:physicalcharacteristic
3536,concept:personus:james_burton,type,concept:personus
3537,concept:scientist:barometer,type,concept:scientist
3538,concept:celebrity:blind_melon,type,concept:celebrity
3539,concept:person:mohammed_bin_rashid_al_maktoum,type,concept:person
3540,concept:website:digg,type,concept:website
3541,concept:radiostation:ksnb_tv,type,concept:radiostation
3542,concept:visualizablething:much_water,type,concept:visualizablething
3543,concept:newspaper:the_new_york_observer,type,concept:newspaper
3544,concept:politician:johnny_rotten,type,concept:politician
3545,concept:city:strongsville,type,concept:city
3546,concept:blog:sun_newspapers,type,concept:blog
3547,concept:animal:small_mammals,type,concept:animal
3548,concept:model:tiva,type,concept:model
3549,concept:city:friedman,type,concept:city
3550,concept:creditunion:trw_credit_bureau,type,concept:creditunion
3551,concept:sportsteam:hartford_hawks,type,concept:sportsteam
3552,concept:monument:troops,type,concept:monument
3553,concept:landscapefeatures:file,type,concept:landscapefeatures
3554,concept:televisionstation:wfld,type,concept:televisionstation
3555,concept:country:norway,type,concept:country
3556,concept:buildingfeature:locations,type,concept:buildingfeature
3557,concept:buildingmaterial:pipelines,type,concept:buildingmaterial
3558,concept:hobby:service_areas,type,concept:hobby
3559,concept:politicsblog:daily_oklahoman,type,concept:politicsblog
3560,concept:book:bite,type,concept:book
3561,concept:politicianus:andrew_miller,type,concept:politicianus
3562,concept:vegetable:bean_sprouts,type,concept:vegetable
3563,concept:company:financial,type,concept:company
3564,concept:product:services_rules,type,concept:product
3565,concept:academicfield:footprint,type,concept:academicfield
3566,concept:winery:hewlett_packard_company,type,concept:winery
3567,concept:city:lotus,type,concept:city
3568,concept:mldataset:community,type,concept:mldataset
3569,concept:company:sony,type,concept:company
3570,concept:clothing:navy_blazer,type,concept:clothing
3571,concept:personnorthamerica:new_york_city,type,concept:personnorthamerica
3572,concept:county:augusta_richmond_county,type,concept:county
3573,concept:musicartist:prince,type,concept:musicartist
3574,concept:publication:inside_com,type,concept:publication
3575,concept:nondiseasecondition:ends,type,concept:nondiseasecondition
3576,concept:bedroomitem:cruise,type,concept:bedroomitem
3577,concept:county:brockton,type,concept:county
3578,concept:website:colbert,type,concept:website
3579,concept:religion:west,type,concept:religion
3580,concept:coach:houston_nutt,type,concept:coach
3581,concept:bank:express_international_mail,type,concept:bank
3582,concept:clothing:velvet,type,concept:clothing
3583,concept:politicaloffice:accident_lawyer,type,concept:politicaloffice
3584,concept:product:services_regulations,type,concept:product
3585,concept:biotechcompany:informatica_corporation,type,concept:biotechcompany
3586,concept:attraction:new_york_city_metropolitan_area,type,concept:attraction
3587,concept:city:new_york_metropolitan_area,type,concept:city
3588,concept:sportsgame:three_months,type,concept:sportsgame
3589,concept:person:women_for_women_international,type,concept:person
3590,concept:language:chinese_language,type,concept:language
3591,concept:economicsector:advertising,type,concept:economicsector
3592,concept:clothing:scarf,type,concept:clothing
3593,concept:profession:teachers,type,concept:profession
3594,concept:sportsteam:george_washington_colonials,type,concept:sportsteam
3595,concept:city:norco,type,concept:city
